PLAYER_NAME,SHOT_MADE_FLAG,LOC_X,LOC_Y,high_pres
Tony Snell,0,-7.0,223.0,0
LeBron James,0,-92.0,213.0,0
Kevin Love,0,-5.0,0.0,0
Derrick Rose,0,-112.0,183.0,0
LeBron James,1,22.0,7.0,0
E'Twaun Moore,1,19.0,7.0,0
Nikola Mirotic,0,1.0,46.0,0
Tristan Thompson,0,-174.0,23.0,0
Mo Williams,1,-24.0,7.0,0
LeBron James,0,-22.0,13.0,0
Derrick Rose,0,-20.0,7.0,0
Jimmy Butler,1,-9.0,11.0,0
Timofey Mozgov,0,-1.0,51.0,0
Kevin Love,0,25.0,16.0,0
LeBron James,0,115.0,218.0,0
LeBron James,0,-12.0,21.0,0
Jimmy Butler,0,166.0,82.0,0
Aaron Brooks,1,50.0,26.0,0
LeBron James,1,4.0,13.0,0
Jimmy Butler,0,114.0,85.0,0
Derrick Rose,1,-6.0,7.0,0
Tony Snell,0,-165.0,188.0,0
Mo Williams,0,-153.0,80.0,0
Richard Jefferson,1,15.0,11.0,0
Derrick Rose,0,12.0,26.0,0
Kevin Love,0,10.0,244.0,0
Richard Jefferson,0,4.0,208.0,0
Doug McDermott,1,-166.0,-6.0,0
LeBron James,1,19.0,8.0,0
Kevin Love,1,109.0,178.0,0
Timofey Mozgov,1,0.0,1.0,0
Kevin Love,0,28.0,7.0,0
JR Smith,0,-76.0,237.0,0
Tony Snell,1,-97.0,234.0,0
JR Smith,1,25.0,23.0,0
Pau Gasol,0,-7.0,174.0,0
Tony Snell,0,94.0,26.0,0
Derrick Rose,0,17.0,75.0,0
Kevin Love,1,25.0,7.0,0
Matthew Dellavedova,0,-14.0,257.0,0
Aaron Brooks,1,114.0,-6.0,0
JR Smith,0,48.0,100.0,0
Aaron Brooks,1,48.0,159.0,0
Timofey Mozgov,0,82.0,134.0,0
E'Twaun Moore,1,42.0,67.0,0
Matthew Dellavedova,0,223.0,2.0,0
E'Twaun Moore,1,-6.0,156.0,0
JR Smith,1,22.0,16.0,0
Richard Jefferson,1,19.0,3.0,0
Mo Williams,1,-97.0,164.0,0
Aaron Brooks,0,-117.0,105.0,0
Kevin Love,0,-237.0,7.0,0
LeBron James,1,-22.0,3.0,0
LeBron James,1,-83.0,198.0,0
Jimmy Butler,1,-181.0,100.0,0
Tristan Thompson,1,0.0,1.0,0
LeBron James,1,66.0,2.0,0
Kevin Love,0,30.0,13.0,0
LeBron James,1,-7.0,52.0,0
JR Smith,0,19.0,16.0,0
Mo Williams,0,50.0,3.0,0
LeBron James,0,-240.0,11.0,0
Derrick Rose,1,-83.0,3.0,0
Matthew Dellavedova,0,37.0,100.0,0
Matthew Dellavedova,1,-12.0,4.0,0
Mo Williams,0,-240.0,-6.0,0
Kevin Love,0,-14.0,7.0,0
Anthony Davis,0,-232.0,36.0,0
Draymond Green,1,-217.0,149.0,0
Eric Gordon,1,79.0,237.0,0
Stephen Curry,0,20.0,9.0,0
Andrew Bogut,1,-8.0,4.0,0
Klay Thompson,0,-55.0,131.0,0
Eric Gordon,0,-32.0,26.0,0
Dante Cunningham,1,10.0,23.0,0
Andrew Bogut,1,0.0,1.0,0
Stephen Curry,1,-4.0,8.0,0
Kendrick Perkins,1,1.0,61.0,0
Anthony Davis,0,-101.0,70.0,0
Stephen Curry,1,-19.0,21.0,0
Festus Ezeli,1,0.0,1.0,0
Harrison Barnes,0,-35.0,65.0,0
Harrison Barnes,0,4.0,11.0,0
Stephen Curry,1,12.0,18.0,0
Ish Smith,1,87.0,154.0,0
Festus Ezeli,0,-40.0,67.0,0
Eric Gordon,0,-14.0,21.0,0
Eric Gordon,1,6.0,36.0,0
Leandro Barbosa,0,-7.0,100.0,0
Marreese Speights,0,-6.0,16.0,0
Klay Thompson,1,-16.0,8.0,0
Ish Smith,0,110.0,154.0,0
Andre Iguodala,0,-16.0,16.0,0
Marreese Speights,0,5.0,-4.0,0
Dante Cunningham,1,12.0,13.0,0
Leandro Barbosa,0,-6.0,23.0,0
Andrew Bogut,1,-17.0,23.0,0
Anthony Davis,0,-52.0,72.0,0
Stephen Curry,1,-96.0,85.0,0
Ryan Anderson,0,-63.0,43.0,0
Andrew Bogut,1,9.0,16.0,0
Eric Gordon,0,-115.0,224.0,0
Dante Cunningham,1,230.0,62.0,0
Andrew Bogut,1,10.0,2.0,0
