PLAYER_NAME,PERFORMANCE_2P,PERFORMANCE_3P,PERFORMANCE_FT,SHOTS_SUM,SHOTS_SUM_2P,SHOTS_SUM_3P,SHOTS_SUM_FT,SHOTS_SUM_PRES_2P,SHOTS_SUM_PRES_3P,SHOTS_SUM_PRES_FT,PERFORMANCE_2P_no_pres,PERFORMANCE_3P_no_pres,SHOTS_SUM_no_pres,SHOTS_SUM_2P_no_pres,SHOTS_SUM_3P_no_pres,SHOTS_SUM_FT_no_pres,PERFORMANCE_FT_no_pres,SHOTS_SUM_cat_1,SHOTS_SUM_2P_cat_1,SHOTS_SUM_3P_cat_1,SHOTS_SUM_FT_cat_1,SHOTS_SUM_cat_2,SHOTS_SUM_2P_cat_2,SHOTS_SUM_3P_cat_2,SHOTS_SUM_FT_cat_2,PERFORMANCE_2P_DELTA_cat_1,PERFORMANCE_3P_DELTA_cat_1,PERFORMANCE_FT_DELTA_cat_1,PERFORMANCE_2P_DELTA_cat_2,PERFORMANCE_3P_DELTA_cat_2,PERFORMANCE_FT_DELTA_cat_2,SHOTTREND_2P,SHOTTREND_3P,SHOTTREND_FT,AST_TREND,TO_TREND,AST/TO_TREND,AST_SUM,TO_SUM
CJ McCollum,-0.07884762506034819,0.015014935564400056,0.05786142565186092,572,340,119,113,14,10,2,-0.07655828398708246,0.010303174042472878,546,326,109,111,0.06400678903732748,14,8,5,1,12,6,5,1,-0.08233825553697276,0.0886648327942608,-0.8472130312788597,-0.019944986769093676,0.023475091427605885,0.15278696872114028,-21.92513368983957,59.336461857470255,-66.44063900701069,7.922201138519935,32.18923933209648,-18.357801524684568,124,98
Al-Farouq Aminu,-0.055658370977352996,0.0283430259231718,-0.02585436737257299,314,144,79,91,5,4,4,-0.06255376583844165,0.025826057639408966,301,139,75,87,-0.02761334770408298,10,3,3,4,3,2,1,0,0.3603383010252357,0.1637295874136183,0.04001680254185218,-0.04403902153946969,-0.292348267823591,0.02761334770408298,-34.163059163059174,-3.994739437777406,-16.654773797630938,8.799617407938776,5.958230958230959,2.6816099363039747,123,74
Marco Belinelli,-0.06579892164015239,-0.031531676331971376,0.09051080023970451,279,104,75,100,10,5,8,-0.04843831708527784,-0.00836054045574846,256,94,70,92,0.10949432874072214,11,8,1,2,12,2,4,6,-0.35550144657132515,-0.1454856133904054,0.13770589373727993,0.5192543494318251,-0.3980873943315784,-0.3622941062627201,16.638795986622057,-19.130434782608695,-2.9565217391304355,0.0,0.0,0.0,130,54
Kobe Bryant,-0.06714769259236177,-0.1007587418106919,0.023293513264422003,436,188,96,152,10,3,4,-0.07152260464857053,-0.10488360328941454,419,178,93,148,0.03034459592460182,8,6,2,0,9,4,1,4,0.1580999750963695,0.2085887986176465,-0.03034459592460182,-0.03152909600274274,-0.0211908952779207,-0.26794114108683265,21.95121951219512,-28.353658536585368,-39.66623876765084,23.444976076555022,-0.12682308180087531,23.6017316017316,95,83
Lou Williams,-0.0014101399615841636,-0.03745771809342079,0.06534355343507456,504,149,97,258,9,8,7,-0.004699717515267353,-0.047275086610270474,480,140,89,251,0.07608696718798283,13,6,6,1,11,3,2,6,0.142426620525331,0.23179649888037387,0.2015197200095535,-0.12147088921772992,-0.21924712357391157,-0.49555341137664743,38.48420363398264,89.08725169725926,-37.795424465872564,-28.925619834710748,0.15710919088767206,-29.03710905849942,77,67
CJ Miles,0.019041506692164055,0.04678315803128252,-0.010550137590720269,258,80,93,85,6,5,13,0.0024917380673758573,0.05244737376768141,234,74,88,72,-0.002799777521997951,8,0,1,7,16,6,4,6,-0.0024917380673758573,-0.6911908292650636,0.1201741991655147,0.22066358166384273,0.04110469144499171,-0.25,-9.519230769230768,-35.1392335263303,84.50980392156863,36.8421052631579,-0.649350649350644,37.73649810801511,114,42
Kemba Walker,-0.03748013092650634,-0.05534583377523695,0.09507805875631571,629,334,81,214,6,6,5,-0.03927172548442023,-0.036951254099390374,612,328,75,209,0.09158425802000518,6,3,1,2,11,3,5,3,0.2347571955466849,0.39820779860200817,0.15561596445799686,-0.035293001432271286,-0.37763375046911596,0.14548047621815213,-16.68092386655261,243.5626102292769,8.36671117044947,-23.863636363636363,15.627530364372454,-34.15377514642219,99,95
Nicolas Batum,-0.02701247959800181,0.01276279252891457,0.09488660492694191,345,145,82,118,3,0,1,-0.019642439763304105,0.01276279252891457,341,142,82,117,0.10239167199675794,2,1,0,1,2,2,0,0,-0.3360216227366959,-0.01276279252891457,-0.8855979142382902,-0.3663170766472361,-0.01276279252891457,-0.10239167199675794,-4.039408866995087,-100.0,-60.69410815173528,23.161764705882337,-13.620324629498937,42.58187956555173,102,109
Brandon Knight,-0.013463306526342351,0.03952981812412611,0.08541848394965632,515,277,96,142,14,6,12,-0.013822522204759992,0.04795014245535875,483,263,90,130,0.08586940039319362,17,8,5,4,15,6,1,8,-0.09679831616269224,-0.09877575663175828,0.16133082208480842,0.145648212037204,-0.31447235263954076,-0.08866917791519156,-18.659747292418782,0.5859375,36.003521126760575,0.0,0.0,0.0,106,133
Wesley Matthews,-0.063632560539079,-0.06398635556296102,0.12146961913752446,324,110,140,74,3,4,3,-0.07089755205126622,-0.05784854058606787,314,107,136,71,0.11572879836652493,6,3,1,2,4,0,3,1,0.2663830221135309,-0.09599761326008599,0.1314714241114771,0.07089755205126622,-0.2544321611683181,0.1618778888310114,-11.636363636363644,-7.428571428571418,31.351351351351365,0.0,0.0,0.0,118,43
